### Coverage: PHP files (all, excluding specs)
| File | Tags (heuristic: responsibilities/inputs/sinks/hooks/enqueues) | Linked canonical finding IDs (heuristic mapping) |
| `kunaal-theme\blocks\footnotes-section\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\framework-matrix\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\glossary\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\glossary-term\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\heatmap\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\heatmap\view.js` | js:mutation_observer, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-OBS-001 |
| `kunaal-theme\blocks\inline-formats\index.js` | js:console_log | CAN-JS-QUAL-001 |
| `kunaal-theme\blocks\insight\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\know-dont-know\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\lede-package\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\magazine-figure\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\network-graph\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\network-graph\view.js` | js:dom_sink, js:setInterval, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-TIMER-001, CAN-SEC-JS-DOM-001 |
| `kunaal-theme\blocks\parallax-section\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\parallax-section\view.js` | js:resize_listener, js:scroll_listener, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-LISTENER-001 |
| `kunaal-theme\blocks\pub-table\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\pullquote\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\related-link\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\related-reading\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\reveal-wrapper\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\reveal-wrapper\view.js` | js:intersection_observer, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-OBS-001 |
| `kunaal-theme\blocks\rubric\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\rubric-row\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\scenario-compare\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\scrolly-step\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\scrollytelling\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\scrollytelling\view.js` | js:intersection_observer | CAN-PERF-FE-OBS-001 |
| `kunaal-theme\blocks\section-header\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\sidenote\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\sidenote\view.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\slopegraph\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\slopegraph\view.js` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\small-multiples\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\small-multiples\view.js` | js:resize_listener, js:window_global | CAN-JS-ARCH-001, CAN-PERF-FE-LISTENER-001 |
| `kunaal-theme\blocks\source-excerpt\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\statistical-distribution\edit.js` | js:window_global | CAN-JS-ARCH-001 |
| `kunaal-theme\blocks\statistical-distribution\view.js` | No issues found (by heuristic scan) | No issues found (by heuristic mapping) |
| `kunaal-theme\blocks\takeaway-item\edit.js` | js:window_global | CAN-JS-ARCH-001 |
